timestamp (in IST),coin_gecko_id,symbol,name,price_in_usd,market_cap,24h_trade_volume
2022-06-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.320070631041246,1851308282.2707162,230996055.7447361
2022-06-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.410653066819277,1885273970.3923752,159349899.88524532
2022-06-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.096081796852272,1783629187.3192205,233826550.24242404
2022-06-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.772922482404532,1975462924.3351808,247286959.2974908
2022-06-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.843123932129147,2004341717.6110203,169023331.63464403
2022-06-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,6.934338840611064,2025074948.991842,191923160.7457403
2022-06-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.085793799603494,2070739114.6936889,382637466.25295347
2022-06-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.159210871089611,2375977794.023968,462166164.7754803
2022-06-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.344127702269425,2438670405.692065,364072276.0451323
2022-06-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.673764617792113,2527672578.177944,274981589.3802809
2022-06-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.051481517739647,2354776791.999365,260509035.84531516
2022-06-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.786824203810657,2283539208.355436,239555236.9451587
2022-06-29 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.324964432139627,2137777691.194391,329920976.6357298
2022-06-30 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.373133274768672,2158973321.560666,295249030.9617142
2022-07-01 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.4782292718290035,2151223070.940118,327253738.4545082
2022-07-02 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.133538489011496,2402497664.9926934,565575229.2713512
2022-07-03 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.076870123416818,2362768257.3457227,443796525.34598887
2022-07-04 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.118431963051819,2376316832.9746103,329309340.4153486
2022-07-05 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.766070168556698,2566199393.3880277,424325281.8771516
2022-07-06 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.966713032089592,2643333348.775523,683157615.3307616
2022-07-07 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.913130214479043,2603764865.0839705,653918691.6693416
2022-07-08 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.399074895433499,2753106250.2594085,509809827.67777663
2022-07-09 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.120893623873767,2679708431.334927,560877223.654347
2022-07-10 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.989837870435542,2631215239.164305,430155330.9464202
2022-07-11 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.808478794661038,2579518774.808206,419745153.7361841
2022-07-12 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.19485909387952,2403093566.0546412,273210190.17428523
2022-07-13 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,7.825271633547674,2283594047.8344254,210317571.941718
2022-07-14 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.17326044681556,2373911528.6986127,247370879.8436554
2022-07-15 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.983433771769969,2643327434.267898,327213242.0730141
2022-07-16 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.054819163320465,2641321181.7473273,362313993.9225893
2022-07-17 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.223151908784669,2696860579.608214,244888023.06558263
2022-07-18 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,8.922287192143722,2622421373.19147,219067143.200984
2022-07-19 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.577037007283982,2795024307.8709073,382838573.9224352
2022-07-20 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.563837204636497,3090442191.324031,602502351.8060765
2022-07-21 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.6758205955261,2831011229.927401,407207670.2709139
2022-07-22 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.071160445532211,3246674547.330372,777156195.0189981
2022-07-23 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.671857616473227,3112603543.3815823,418089864.81057024
2022-07-24 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.123221828227583,2960982235.132855,382809840.11271363
2022-07-25 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.005804666215338,2938823258.134196,234202955.61997068
2022-07-26 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.05130950864019,2686611911.3028007,315091191.20116323
2022-07-27 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,9.211472373345833,2692103689.336534,502877011.06583655
2022-07-28 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.32229342716545,3013259656.4518056,485118658.79063106
2022-07-29 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,10.870830292929965,3177333851.8519273,522124076.7484881
2022-07-30 05:30:00 IST +0530,cosmos,atom,Cosmos Hub,11.22254365885635,3311185991.995951,468984736.24349356
